1,1995,8.3,81,John Lasseter,Tom Hanks|Tim Allen|Don Rickles,191796233,USA,30000000
2,1995,6.9,104,Joe Johnston,Robin Williams|Kirsten Dunst|Bonnie Hunt,100200000,USA,50000000
3,1995,6.6,101,Howard Deutch,Walter Matthau|Jack Lemmon|Ann-Margret,69870000,USA,25000000
4,1995,5.7,124,Forest Whitaker,Whitney Houston|Angela Bassett|Loretta Devine,66217473,USA,16000000
5,1995,5.9,106,Charles Shyer,Steve Martin|Diane Keaton|Martin Short,76594000,USA,30000000
6,1995,8.2,170,Michael Mann,Al Pacino|Robert De Niro|Val Kilmer,67436000,USA,60000000
7,1995,6.3,127,Sydney Pollack,Harrison Ford|Julia Ormond|Greg Kinnear,53458319,Germany,58000000
8,1995,5.6,97,Peter Hewitt,Jonathan Taylor Thomas|Brad Renfro|Charles Rocket,23735802,USA,0
9,1995,5.7,111,Peter Hyams,Jean-Claude Van Damme|Powers Boothe|Raymond J. Barry,22000000,USA,35000000
10,1995,7.2,130,Martin Campbell,Pierce Brosnan|Sean Bean|Izabella Scorupco,106635996,UK,60000000
11,1995,6.8,114,Rob Reiner,Michael Douglas|Annette Bening|Martin Sheen,65000000,USA,62000000
12,1995,5.8,88,Mel Brooks,Leslie Nielsen|Mel Brooks|Peter MacNicol,10693649,France,30000000
13,1995,7.1,0,Simon Wells,Kevin Bacon|Bob Hoskins|Bridget Fonda,11268750,USA,0
14,1995,7.1,192,Oliver Stone,Anthony Hopkins|Joan Allen|Powers Boothe,13560960,USA,50000000
15,1995,5.6,124,Renny Harlin,Geena Davis|Matthew Modine|Frank Langella,11000000,USA,98000000
16,1995,8.2,178,Martin Scorsese,Robert De Niro|Sharon Stone|Joe Pesci,42438300,France,52000000
17,1995,7.7,136,Ang Lee,Emma Thompson|Kate Winslet|James Fleet,42700000,USA,16000000
18,1995,6.7,98,"Allison Anders,",Tim Roth|Amanda De Cadenet|David Proval,4301331,USA,4000000
19,1995,6.3,90,Steve Oedekerk,Jim Carrey|Ian McNeice|Simon Callow,108360000,USA,30000000
20,1995,5.6,110,Joseph Ruben,Wesley Snipes|Woody Harrelson|Jennifer Lopez,35324232,USA,68000000
21,1995,6.9,105,Barry Sonnenfeld,Gene Hackman|Rene Russo|Danny DeVito,72077000,USA,30250000
22,1995,6.6,123,Jon Amiel,Sigourney Weaver|Holly Hunter|Dermot Mulroney,32051917,USA,20000000
23,1995,6.3,132,Richard Donner,Sylvester Stallone|Antonio Banderas|Julianne Moore,30306268,France,50000000
24,1995,6.5,111,Victor Salva,Mary Steenburgen|Sean Patrick Flanery|Lance Henriksen,30862146,USA,9500000
25,1995,7.6,111,Mike Figgis,Nicolas Cage|Elisabeth Shue|Julian Sands,31968347,France,3600000
26,1995,6.9,123,Oliver Parker,Laurence Fishburne|Kenneth Branagh|Irène Jacob,2112951,USA,11000000
27,1995,6.8,100,Lesli Linka Glatter,Christina Ricci|Demi Moore|Rosie O'Donnell,27400000,USA,0
28,0,7.7,107,Roger Michell,Amanda Root|Ciarán Hinds|Susan Fleetwood,5462325,UK,0
29,1995,7.7,112,"Marc Caro,",Ron Perlman|Daniel Emilfork|Judith Vittet,1513028,France,18000000
30,1995,7.2,0,Yimou Zhang,Li Gong|Baotian Li|Xiaoxiao Wang,2300000,France,0
31,1995,6.4,99,John N. Smith,Michelle Pfeiffer|George Dzundza|Courtney B. Vance,84919401,USA,23000000
32,1995,8.0,129,Terry Gilliam,Bruce Willis|Madeleine Stowe|Brad Pitt,56882000,USA,29000001
34,1995,6.8,91,Chris Noonan,James Cromwell|Magda Szubanski|Christine Cavanaugh,66600000,Australia,30000000
35,1995,6.9,121,Christopher Hampton,Emma Thompson|Jonathan Pryce|Steven Waddington,3242342,UK,0
36,1995,7.6,122,Tim Robbins,Susan Sarandon|Sean Penn|Robert Prosky,39025000,UK,11000000
37,1995,6.4,51,Stephen Low,Peter Reznick|John McDonough|Avi Hoffman,1598109522003,USA,0
38,1995,5.8,101,Andy Tennant,Kirstie Alley|Steve Guttenberg|Mary-Kate Olsen,19474589,USA,0
39,1995,6.8,97,Amy Heckerling,Alicia Silverstone|Stacey Dash|Brittany Murphy,56631572,USA,12000000
40,1995,6.9,106,Darrell Roodt (as Darrell James Roodt),Richard Harris|James Earl Jones|Vusi Kunene,676525,South,0
41,1995,7.5,110,Richard Loncraine,Ian McKellen|Annette Bening|Christopher Bowen,2600000,UK,6000000
42,1995,6.8,119,"Albert Hughes (as The Hughes Brothers),",Larenz Tate|Keith David|Chris Tucker,24200000,USA,10000000
43,1995,6.7,117,Michael Hoffman,Robert Downey Jr.|Sam Neill|David Thewlis,4100000,USA,19000000
44,1995,5.8,101,Paul W.S. Anderson (as Paul Anderson),Christopher Lambert|Robin Shou|Linden Ashby,70360285,USA,18000000
45,1995,6.8,106,Gus Van Sant,Nicole Kidman|Matt Dillon|Joaquin Phoenix,21200000,USA,20000000
46,1995,6.2,117,Jocelyn Moorhouse,Winona Ryder|Ellen Burstyn|Anne Bancroft,23574130,USA,10000000
47,1995,8.6,127,David Fincher,Morgan Freeman|Brad Pitt|Kevin Spacey,100125340,USA,33000000
48,1995,6.7,81,"Mike Gabriel,",Mel Gibson|Linda Hunt|Christian Bale,141600000,USA,55000000
49,1995,6.7,94,Patricia Rozema,Pascale Bussières|Rachael Crawford|Henry Czerny,1194152,Canada,0
50,1995,8.6,106,Bryan Singer,Kevin Spacey|Gabriel Byrne|Chazz Palminteri,23272306,USA,6000000
52,1995,7.1,95,Woody Allen,Woody Allen|Mira Sorvino|Pamela Blair,6700000,USA,15000000
53,1994,7.6,116,Gianni Amelio,Enrico Lo Verso|Michele Placido|Piro Milkani,438483,Italy,0
54,1995,5.5,100,Holly Goldberg Sloan,Steve Guttenberg|Olivia d'Abo|Jay O. Sanders,17725500,USA,12000000
55,1995,6.5,115,Ulu Grosbard,Jennifer Jason Leigh|Mare Winningham|Ted Levine,2907768,USA,0
57,1995,6.6,103,Jodie Foster,Holly Hunter|Anne Bancroft|Robert Downey Jr.,17518220,USA,20000000
58,1994,7.7,108,"Michael Radford,",Massimo Troisi|Philippe Noiret|Maria Grazia Cucinotta,21840154,Italy,3000000
59,1995,7.6,100,Robert Lepage,Lothaire Bluteau|Patrick Goyette|Jean-Louis Millette,575001,Canada,0
60,1995,5.9,96,Frank Oz,Hal Scardino|Litefoot|Lindsay Crouse,35617599,USA,45000000
61,1996,6.1,101,John Schlesinger,Sally Field|Kiefer Sutherland|Ed Harris,53146000,USA,20000000
62,1995,7.3,143,Stephen Herek,Richard Dreyfuss|Glenne Headly|Jay Thomas,82528097261996,USA,23000000
63,1996,6.6,89,Paris Barclay,Shawn Wayans|Marlon Wayans|Keenen Ivory Wayans,39255889,USA,3800000
64,1996,5.2,96,Bill Bennett,Sandra Bullock|Denis Leary|Stephen Dillane,10700000,USA,0
65,1996,4.4,88,Jason Bloom,Pauly Shore|Stephen Baldwin|William Atherton,26757000,USA,15000000
66,1996,2.4,93,Farhad Mann,Patrick Bergin|Matt Frewer|Austin O'Brien,2409225,USA,15000000
68,1995,6.4,104,Josiane Balasko,Victoria Abril|Josiane Balasko|Alain Chabat,1400000,France,0
69,1995,7.3,91,F. Gary Gray,Ice Cube|Chris Tucker|Nia Long,27900000,USA,3500000
70,1996,7.3,108,Robert Rodriguez,Harvey Keitel|George Clooney|Juliette Lewis,25753840,USA,19000000
71,1995,4.1,91,Andrew Sipes,William Baldwin|Cindy Crawford|Steven Berkoff,11534477,USA,50000000
72,1995,7.0,96,Noah Baumbach,Josh Hamilton|Eric Stoltz|Samuel Gould,704543,USA,0
73,1995,7.5,175,Claude Lelouch,Jean-Paul Belmondo|Michel Boujenah|Alessandra Martines,1035890,France,0
